METHOD	PATH	HANDLER
GET	/api/v1/erp-sync/connections/{connection_id}/oauth/callback	oauth_callback
POST	/api/v1/erp-sync/connections/{connection_id}/oauth/start	oauth_start
GET	/api/v1/erp-sync/connections/{id}	get_connection
POST	/api/v1/erp-sync/connections/{id}/activate	activate_connection
GET	/api/v1/erp-sync/connections/{id}/capabilities	list_connection_capabilities
POST	/api/v1/erp-sync/connections/{id}/revoke	revoke_connection
POST	/api/v1/erp-sync/connections/{id}/rotate-credentials	rotate_credentials
POST	/api/v1/erp-sync/connections/{id}/suspend	suspend_connection
POST	/api/v1/erp-sync/connections/{id}/test	test_connection
POST	/api/v1/erp-sync/connections/{id}/upgrade-connector-version	upgrade_connector_version
GET	/api/v1/erp-sync/connections/{id}/versions	list_connection_versions
GET	/api/v1/erp-sync/connectors	list_connectors
GET	/api/v1/erp-sync/connectors/{connector_type}/capabilities	get_connector_capabilities
GET	/api/v1/erp-sync/connectors/{connector_type}/versions	get_connector_versions
GET	/api/v1/erp-sync/datasets	list_datasets
GET	/api/v1/erp-sync/datasets/{dataset_type}	get_dataset
GET	/api/v1/erp-sync/datasets/{dataset_type}/periods	get_dataset_periods
POST	/api/v1/erp-sync/datasets/{dataset_type}/preview	preview_dataset
GET	/api/v1/erp-sync/datasets/{dataset_type}/template	get_dataset_template
GET	/api/v1/erp-sync/drift-reports	list_drift_reports
GET	/api/v1/erp-sync/drift-reports/{id}	get_drift_report
GET	/api/v1/erp-sync/health	get_sync_health
GET	/api/v1/erp-sync/health/alerts	list_health_alerts
GET	/api/v1/erp-sync/health/{connection_id}	get_connection_health
GET	/api/v1/erp-sync/mappings	list_mappings
POST	/api/v1/erp-sync/mappings	create_mapping
GET	/api/v1/erp-sync/mappings/{id}	get_mapping
GET	/api/v1/erp-sync/mappings/{id}/versions	list_mapping_versions
POST	/api/v1/erp-sync/mappings/{id}/versions	create_mapping_version
POST	/api/v1/erp-sync/mappings/{id}/versions/{vid}/activate	activate_mapping_version
GET	/api/v1/erp-sync/period-locks	list_period_locks
POST	/api/v1/erp-sync/period-locks	create_period_lock
GET	/api/v1/erp-sync/publish-events	list_publish_events
GET	/api/v1/erp-sync/publish-events/{id}	get_publish_event
POST	/api/v1/erp-sync/publish-events/{id}/approve	approve_publish_event
POST	/api/v1/erp-sync/publish-events/{id}/reject	reject_publish_event
GET	/api/v1/erp-sync/sync-definitions	list_sync_definitions
POST	/api/v1/erp-sync/sync-definitions	create_sync_definition
