CATEGORY	METHOD	PATH	HANDLER
reporting	POST	/api/v1/consolidation/hierarchies	create_hierarchy
reporting	GET	/api/v1/consolidation/hierarchies/{id}/versions	list_hierarchy_versions
reporting	GET	/api/v1/consolidation/ic-differences/{run_id}	get_consolidation_ic_differences_endpoint
reporting	GET	/api/v1/consolidation/intercompany-rules	list_intercompany_rules
reporting	POST	/api/v1/consolidation/intercompany-rules	create_intercompany_rule
reporting	GET	/api/v1/consolidation/intercompany-rules/{id}/versions	list_intercompany_rule_versions
reporting	GET	/api/v1/consolidation/results/{run_id}	get_consolidation_results_endpoint
reporting	GET	/api/v1/consolidation/rules	list_rules
reporting	POST	/api/v1/consolidation/rules	create_rule
reporting	GET	/api/v1/consolidation/rules/{id}/versions	list_rule_versions
reporting	POST	/api/v1/consolidation/run	start_consolidation_run_endpoint
reporting	GET	/api/v1/consolidation/run/{run_id}	get_consolidation_run_status_endpoint
reporting	GET	/api/v1/consolidation/run/{run_id}/accounts/{account_code}	get_consolidation_account_drilldown_endpoint
reporting	GET	/api/v1/consolidation/run/{run_id}/entities/{entity_id}	get_consolidation_entity_drilldown_endpoint
reporting	GET	/api/v1/consolidation/run/{run_id}/line-items/{line_item_id}	get_consolidation_line_item_drilldown_endpoint
reporting	GET	/api/v1/consolidation/run/{run_id}/snapshot-lines/{snapshot_line_id}	get_consolidation_snapshot_line_drilldown_endpoint
reporting	POST	/api/v1/consolidation/runs	create_run
reporting	GET	/api/v1/consolidation/runs/{id}	get_run
reporting	GET	/api/v1/consolidation/runs/{id}/anomalies	list_group_anomalies
reporting	GET	/api/v1/consolidation/runs/{id}/board-pack	get_group_board_pack
reporting	GET	/api/v1/consolidation/runs/{id}/evidence	list_evidence
reporting	POST	/api/v1/consolidation/runs/{id}/execute	execute_run
reporting	GET	/api/v1/consolidation/runs/{id}/metrics	list_metrics
reporting	GET	/api/v1/consolidation/runs/{id}/risks	list_group_risks
reporting	GET	/api/v1/consolidation/runs/{id}/summary	get_run_summary
reporting	GET	/api/v1/consolidation/runs/{id}/variances	list_variances
reporting	GET	/api/v1/consolidation/scopes	list_scopes
reporting	POST	/api/v1/consolidation/scopes	create_scope
reporting	GET	/api/v1/consolidation/scopes/{id}/versions	list_scope_versions
misc	POST	/api/v1/covenants	create_covenant_endpoint
misc	POST	/api/v1/covenants/check	run_check_endpoint
misc	GET	/api/v1/covenants/dashboard	covenant_dashboard_endpoint
misc	PATCH	/api/v1/covenants/{covenant_id}	patch_covenant_endpoint
misc	GET	/api/v1/covenants/{covenant_id}/history	history_endpoint
misc	GET	/api/v1/delivery/logs	list_logs
misc	GET	/api/v1/delivery/logs/{id}	get_log
misc	GET	/api/v1/delivery/schedules	list_schedules
misc	POST	/api/v1/delivery/schedules	create_schedule
misc	DELETE	/api/v1/delivery/schedules/{id}	delete_schedule
misc	GET	/api/v1/delivery/schedules/{id}	get_schedule
misc	PATCH	/api/v1/delivery/schedules/{id}	update_schedule
misc	POST	/api/v1/delivery/schedules/{id}/trigger	trigger_schedule
misc	POST	/api/v1/equity/line-definitions	create_line_definition
